@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
73,92,30,45,77,0.368852,0.754098,0.671533,0.754098,0.328467,0.710425,0.561475,1.343066,0.301602
74,90,32,44,78,0.360656,0.737705,0.671642,0.737705,0.328358,0.703125,0.54918,1.343284,0.302334
75,89,33,44,78,0.360656,0.729508,0.669173,0.729508,0.330827,0.698039,0.545082,1.338346,0.30257
76,89,33,43,79,0.352459,0.729508,0.674242,0.729508,0.325758,0.700787,0.540984,1.348485,0.30321
77,89,33,42,80,0.344262,0.729508,0.679389,0.729508,0.320611,0.703557,0.536885,1.358779,0.303903
78,88,34,42,80,0.344262,0.721311,0.676923,0.721311,0.323077,0.698413,0.532787,1.353846,0.303903
79,87,35,42,80,0.344262,0.713115,0.674419,0.713115,0.325581,0.693227,0.528689,1.348837,0.303904
80,87,35,41,81,0.336066,0.713115,0.679688,0.713115,0.320313,0.696,0.52459,1.359375,0.303904
81,87,35,40,82,0.327869,0.713115,0.685039,0.713115,0.314961,0.698795,0.520492,1.370079,0.303904
82,87,35,33,89,0.270492,0.713115,0.725,0.713115,0.275,0.719008,0.491803,1.45,0.304558
83,86,36,33,89,0.270492,0.704918,0.722689,0.704918,0.277311,0.713693,0.487705,1.445378,0.3082
84,86,36,32,90,0.262295,0.704918,0.728814,0.704918,0.271186,0.716667,0.483607,1.457627,0.309397
85,85,37,32,90,0.262295,0.696721,0.726496,0.696721,0.273504,0.711297,0.479508,1.452991,0.310162
86,85,37,31,91,0.254098,0.696721,0.732759,0.696721,0.267241,0.714286,0.47541,1.465517,0.310412
87,85,37,30,92,0.245902,0.696721,0.73913,0.696721,0.26087,0.7173,0.471311,1.478261,0.310413
88,84,38,29,93,0.237705,0.688525,0.743363,0.688525,0.256637,0.714894,0.463115,1.486726,0.310413
89,84,38,28,94,0.229508,0.688525,0.75,0.688525,0.25,0.717949,0.459016,1.5,0.310414
90,84,38,27,95,0.221311,0.688525,0.756757,0.688525,0.243243,0.72103,0.454918,1.513514,0.310414
91,84,38,26,96,0.213115,0.688525,0.763636,0.688525,0.236364,0.724138,0.45082,1.527273,0.310414
92,84,38,24,98,0.196721,0.688525,0.777778,0.688525,0.222222,0.730435,0.442623,1.555556,0.310414
