@relation defacto

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute total_positives_evidence_score numeric
@attribute total_negatives_evidence_score numeric
@attribute domain_range_check numeric
@attribute class {true,false}

@data
false/property/successor_7.ttl,0,0,5,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/team_1.ttl,0,0,643,0,0,0,0,0,0,0,0,0,0,0.5,false
false/property/team_3.ttl,0,0.017241,788,0,0.833333,0,43.706897,0,20.206897,4,0,0,0,1,false
false/property/team_5.ttl,0,0.384615,18,0,0.931624,0,23.076923,0,1.384615,2,0,0,0,0.5,false
false/property/team_9.ttl,0,4,1,0,0,0,0,0,0,3,0,0,0,1,false
false/property/writer_1.ttl,0,0.19084,192227,0,0.521133,0,117.466667,0,17.066667,366,0,0,0.955075,1,false
false/property/writer_2.ttl,0,0.090909,209,0,0,0,0,0,0,134,0,0,0.649598,0.5,false
false/property/writer_5.ttl,0,0,32200,0,0.166667,0,0.15,0,0.7,2,0,0,0,0,false
false/property/writer_9.ttl,0,0,30002,0,0.659091,0,6.545455,0,7,8,0,0,0,0.5,false
true/alma_mater_3.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
true/alma_mater_5.ttl,0,0,11,0,0,0,0,0,0,0,0,0,0,1,true
true/alma_mater_6.ttl,0,0,5,0,0,0,0,0,0,0,0,0,0,1,true
true/artist_1.ttl,0,0.313433,17890,0,0.067993,0,4.029851,0,7.552239,13,0,0,0.019252,0.5,true
true/artist_5.ttl,0,0.245283,209073,0,0.005189,0,0.009434,0,0,1,0,0,0.000002,0.5,true
true/artist_7.ttl,0,0.222222,595536,0,0.000719,0,0,0,0,46,0,0,0.025686,0.5,true
true/associated_musical_artist_5.ttl,0,0.308511,29857,0,0.341924,0,49.793814,0,6.329897,77,0,0,0.067569,0.5,true
true/associated_musical_artist_6.ttl,0,0.25,424,0,0.157778,0,3.683333,0,0.3,46,0,0,0.003644,1,true
true/associated_musical_artist_7.ttl,0,0,19,0,0,0,0,0,0,0,0,0,0,1,true
true/award_3.ttl,0,0,3,0,0,0,0,0,0,0,0,0,0,1,true
true/battle_1.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
true/battle_7.ttl,0,0,33,0,0,0,0,0,0,0,0,0,0,1,true
true/battle_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
true/binomial_authority_4.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
true/birth_place_2.ttl,0,0,26,0,0,0,0,0,0,0,0,0,0,1,true
