@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
93,37,85,5,117,0.040984,0.303279,0.880952,0.303279,0.119048,0.45122,0.172131,1.761905,0.999691
94,37,85,4,118,0.032787,0.303279,0.902439,0.303279,0.097561,0.453988,0.168033,1.804878,0.999773
95,36,86,4,118,0.032787,0.295082,0.9,0.295082,0.1,0.444444,0.163934,1.8,0.999988
96,36,86,3,119,0.02459,0.295082,0.923077,0.295082,0.076923,0.447205,0.159836,1.846154,0.999994
97,35,87,3,119,0.02459,0.286885,0.921053,0.286885,0.078947,0.4375,0.155738,1.842105,0.999998
98,34,88,3,119,0.02459,0.278689,0.918919,0.278689,0.081081,0.427673,0.151639,1.837838,1
99,34,88,2,120,0.016393,0.278689,0.944444,0.278689,0.055556,0.43038,0.147541,1.888889,1
100,33,89,2,120,0.016393,0.270492,0.942857,0.270492,0.057143,0.420382,0.143443,1.885714,1
101,32,90,2,120,0.016393,0.262295,0.941176,0.262295,0.058824,0.410256,0.139344,1.882353,1
102,31,91,2,120,0.016393,0.254098,0.939394,0.254098,0.060606,0.4,0.135246,1.878788,1
103,30,92,2,120,0.016393,0.245902,0.9375,0.245902,0.0625,0.38961,0.131148,1.875,1
104,29,93,2,120,0.016393,0.237705,0.935484,0.237705,0.064516,0.379085,0.127049,1.870968,1
105,28,94,2,120,0.016393,0.229508,0.933333,0.229508,0.066667,0.368421,0.122951,1.866667,1
106,27,95,2,120,0.016393,0.221311,0.931034,0.221311,0.068966,0.357616,0.118852,1.862069,1
107,26,96,2,120,0.016393,0.213115,0.928571,0.213115,0.071429,0.346667,0.114754,1.857143,1
108,25,97,2,120,0.016393,0.204918,0.925926,0.204918,0.074074,0.33557,0.110656,1.851852,1
109,24,98,2,120,0.016393,0.196721,0.923077,0.196721,0.076923,0.324324,0.106557,1.846154,1
110,22,100,2,120,0.016393,0.180328,0.916667,0.180328,0.083333,0.30137,0.098361,1.833333,1
