@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
106,214,14,206,93,0.688963,0.938596,0.509524,0.938596,0.490476,0.660494,0.796964,1.177715,0
107,213,15,206,93,0.688963,0.934211,0.508353,0.934211,0.491647,0.658423,0.795066,1.175009,0
108,213,15,205,94,0.685619,0.934211,0.509569,0.934211,0.490431,0.659443,0.793169,1.17782,0
109,213,15,204,95,0.682274,0.934211,0.510791,0.934211,0.489209,0.660465,0.791271,1.180645,0
110,213,15,203,96,0.67893,0.934211,0.512019,0.934211,0.487981,0.661491,0.789374,1.183483,0
111,213,15,202,97,0.675585,0.934211,0.513253,0.934211,0.486747,0.662519,0.787476,1.186335,0
112,213,15,201,98,0.672241,0.934211,0.514493,0.934211,0.485507,0.663551,0.785579,1.1892,0
113,212,16,201,98,0.672241,0.929825,0.513317,0.929825,0.486683,0.661466,0.783681,1.186483,0
114,212,16,200,99,0.668896,0.929825,0.514563,0.929825,0.485437,0.6625,0.781784,1.189363,0
115,212,16,199,100,0.665552,0.929825,0.515815,0.929825,0.484185,0.663537,0.779886,1.192257,0
116,211,17,199,100,0.665552,0.925439,0.514634,0.925439,0.485366,0.661442,0.777989,1.189527,0
117,211,17,198,101,0.662207,0.925439,0.515892,0.925439,0.484108,0.66248,0.776091,1.192436,0
118,211,17,197,102,0.658863,0.925439,0.517157,0.925439,0.482843,0.663522,0.774194,1.195358,0
119,211,17,196,103,0.655518,0.925439,0.518428,0.925439,0.481572,0.664567,0.772296,1.198295,0
120,211,17,195,104,0.652174,0.925439,0.519704,0.925439,0.480296,0.665615,0.770398,1.201247,0
121,210,18,195,104,0.652174,0.921053,0.518519,0.921053,0.481481,0.663507,0.768501,1.198506,0
122,210,18,194,105,0.648829,0.921053,0.519802,0.921053,0.480198,0.664557,0.766603,1.201472,0
123,210,18,193,106,0.645485,0.921053,0.521092,0.921053,0.478908,0.66561,0.764706,1.204453,0
124,210,18,192,107,0.64214,0.921053,0.522388,0.921053,0.477612,0.666667,0.762808,1.20745,0
125,209,19,192,107,0.64214,0.916667,0.521197,0.916667,0.478803,0.664547,0.760911,1.204697,0
126,209,19,191,108,0.638796,0.916667,0.5225,0.916667,0.4775,0.665605,0.759013,1.207708,0
127,209,19,190,109,0.635452,0.916667,0.52381,0.916667,0.47619,0.666667,0.757116,1.210735,0
128,209,19,189,110,0.632107,0.916667,0.525126,0.916667,0.474874,0.667732,0.755218,1.213777,0
129,209,19,188,111,0.628763,0.916667,0.526448,0.916667,0.473552,0.6688,0.753321,1.216835,0
130,209,19,187,112,0.625418,0.916667,0.527778,0.916667,0.472222,0.669872,0.751423,1.219907,0
131,208,20,187,112,0.625418,0.912281,0.526582,0.912281,0.473418,0.667737,0.749526,1.217144,0
132,207,21,187,112,0.625418,0.907895,0.525381,0.907895,0.474619,0.665595,0.747628,1.214367,0
133,206,22,187,112,0.625418,0.903509,0.524173,0.903509,0.475827,0.663446,0.745731,1.211575,0
134,206,22,186,113,0.622074,0.903509,0.52551,0.903509,0.47449,0.664516,0.743833,1.214666,0
135,206,22,185,114,0.618729,0.903509,0.526854,0.903509,0.473146,0.66559,0.741935,1.217773,0
136,206,22,184,115,0.615385,0.903509,0.528205,0.903509,0.471795,0.666667,0.740038,1.220895,0
137,206,22,183,116,0.61204,0.903509,0.529563,0.903509,0.470437,0.667747,0.73814,1.224034,0
138,206,22,182,117,0.608696,0.903509,0.530928,0.903509,0.469072,0.668831,0.736243,1.227188,0
139,206,22,181,118,0.605351,0.903509,0.5323,0.903509,0.4677,0.669919,0.734345,1.230359,0
140,206,22,180,119,0.602007,0.903509,0.533679,0.903509,0.466321,0.67101,0.732448,1.233547,0
141,206,22,179,120,0.598662,0.903509,0.535065,0.903509,0.464935,0.672104,0.73055,1.236751,0
142,206,22,178,121,0.595318,0.903509,0.536458,0.903509,0.463542,0.673203,0.728653,1.239972,0
143,206,22,177,122,0.591973,0.903509,0.537859,0.903509,0.462141,0.674304,0.726755,1.243209,0
144,206,22,176,123,0.588629,0.903509,0.539267,0.903509,0.460733,0.67541,0.724858,1.246464,0
145,206,22,175,124,0.585284,0.903509,0.540682,0.903509,0.459318,0.676519,0.72296,1.249735,0
146,206,22,174,125,0.58194,0.903509,0.542105,0.903509,0.457895,0.677632,0.721063,1.253024,0
147,206,22,173,126,0.578595,0.903509,0.543536,0.903509,0.456464,0.678748,0.719165,1.25633,0
148,205,23,173,126,0.578595,0.899123,0.542328,0.899123,0.457672,0.676568,0.717268,1.253539,0
149,205,23,172,127,0.575251,0.899123,0.543767,0.899123,0.456233,0.677686,0.71537,1.256864,0
150,205,23,171,128,0.571906,0.899123,0.545213,0.899123,0.454787,0.678808,0.713472,1.260207,0
151,205,23,170,129,0.568562,0.899123,0.546667,0.899123,0.453333,0.679934,0.711575,1.263567,0
152,205,23,169,130,0.565217,0.899123,0.548128,0.899123,0.451872,0.681063,0.709677,1.266946,0
153,205,23,168,131,0.561873,0.899123,0.549598,0.899123,0.450402,0.682196,0.70778,1.270342,0
154,205,23,167,132,0.558528,0.899123,0.551075,0.899123,0.448925,0.683333,0.705882,1.273757,0
155,205,23,166,133,0.555184,0.899123,0.552561,0.899123,0.447439,0.684474,0.703985,1.277191,0
156,205,23,165,134,0.551839,0.899123,0.554054,0.899123,0.445946,0.685619,0.702087,1.280642,0
157,204,24,165,134,0.551839,0.894737,0.552846,0.894737,0.447154,0.683417,0.70019,1.277849,0
158,204,24,164,135,0.548495,0.894737,0.554348,0.894737,0.445652,0.684564,0.698292,1.281322,0
159,204,24,163,136,0.545151,0.894737,0.555858,0.894737,0.444142,0.685714,0.696395,1.284813,0
160,204,24,162,137,0.541806,0.894737,0.557377,0.894737,0.442623,0.686869,0.694497,1.288323,0
161,204,24,161,138,0.538462,0.894737,0.558904,0.894737,0.441096,0.688027,0.6926,1.291853,0
162,204,24,160,139,0.535117,0.894737,0.56044,0.894737,0.43956,0.689189,0.690702,1.295402,0
163,204,24,159,140,0.531773,0.894737,0.561983,0.894737,0.438017,0.690355,0.688805,1.298971,0
164,204,24,158,141,0.528428,0.894737,0.563536,0.894737,0.436464,0.691525,0.686907,1.302559,0
165,204,24,157,142,0.525084,0.894737,0.565097,0.894737,0.434903,0.692699,0.685009,1.306167,0
