@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
108,222,6,197,102,0.658863,0.973684,0.529833,0.973684,0.470167,0.686244,0.795066,1.224658,0.0028
109,222,6,196,103,0.655518,0.973684,0.5311,0.973684,0.4689,0.687307,0.793169,1.227588,0.002875
110,222,6,195,104,0.652174,0.973684,0.532374,0.973684,0.467626,0.688372,0.791271,1.230531,0.002892
111,222,6,194,105,0.648829,0.973684,0.533654,0.973684,0.466346,0.689441,0.789374,1.233489,0.002995
112,222,6,193,106,0.645485,0.973684,0.53494,0.973684,0.46506,0.690513,0.787476,1.236462,0.003001
113,222,6,192,107,0.64214,0.973684,0.536232,0.973684,0.463768,0.691589,0.785579,1.239448,0.003002
114,222,6,191,108,0.638796,0.973684,0.53753,0.973684,0.46247,0.692668,0.783681,1.242449,0.003023
115,222,6,190,109,0.635452,0.973684,0.538835,0.973684,0.461165,0.69375,0.781784,1.245465,0.003119
116,221,7,190,109,0.635452,0.969298,0.537713,0.969298,0.462287,0.691706,0.779886,1.242871,0.003122
117,221,7,189,110,0.632107,0.969298,0.539024,0.969298,0.460976,0.69279,0.777989,1.245903,0.00327
118,221,7,188,111,0.628763,0.969298,0.540342,0.969298,0.459658,0.693878,0.776091,1.248949,0.003349
119,221,7,187,112,0.625418,0.969298,0.541667,0.969298,0.458333,0.694969,0.774194,1.25201,0.003364
120,221,7,186,113,0.622074,0.969298,0.542998,0.969298,0.457002,0.696063,0.772296,1.255086,0.003365
121,221,7,185,114,0.618729,0.969298,0.544335,0.969298,0.455665,0.697161,0.770398,1.258178,0.003368
122,221,7,184,115,0.615385,0.969298,0.545679,0.969298,0.454321,0.698262,0.768501,1.261284,0.003374
123,221,7,183,116,0.61204,0.969298,0.54703,0.969298,0.45297,0.699367,0.766603,1.264406,0.003375
124,221,7,182,117,0.608696,0.969298,0.548387,0.969298,0.451613,0.700475,0.764706,1.267544,0.003377
125,221,7,181,118,0.605351,0.969298,0.549751,0.969298,0.450249,0.701587,0.762808,1.270697,0.00338
126,221,7,180,119,0.602007,0.969298,0.551122,0.969298,0.448878,0.702703,0.760911,1.273866,0.003381
127,221,7,179,120,0.598662,0.969298,0.5525,0.969298,0.4475,0.703822,0.759013,1.27705,0.003385
128,221,7,178,121,0.595318,0.969298,0.553885,0.969298,0.446115,0.704944,0.757116,1.280251,0.003391
129,221,7,177,122,0.591973,0.969298,0.555276,0.969298,0.444724,0.70607,0.755218,1.283468,0.003431
130,221,7,176,123,0.588629,0.969298,0.556675,0.969298,0.443325,0.7072,0.753321,1.286701,0.003451
131,221,7,175,124,0.585284,0.969298,0.558081,0.969298,0.441919,0.708333,0.751423,1.28995,0.003483
132,221,7,174,125,0.58194,0.969298,0.559494,0.969298,0.440506,0.70947,0.749526,1.293216,0.003534
133,221,7,173,126,0.578595,0.969298,0.560914,0.969298,0.439086,0.710611,0.747628,1.296498,0.003573
134,221,7,172,127,0.575251,0.969298,0.562341,0.969298,0.437659,0.711755,0.745731,1.299797,0.003616
135,221,7,171,128,0.571906,0.969298,0.563776,0.969298,0.436224,0.712903,0.743833,1.303113,0.003675
136,220,8,171,128,0.571906,0.964912,0.56266,0.964912,0.43734,0.710824,0.741935,1.300534,0.003692
137,220,8,170,129,0.568562,0.964912,0.564103,0.964912,0.435897,0.711974,0.740038,1.303869,0.003725
138,220,8,169,130,0.565217,0.964912,0.565553,0.964912,0.434447,0.713128,0.73814,1.30722,0.003866
139,220,8,168,131,0.561873,0.964912,0.56701,0.964912,0.43299,0.714286,0.736243,1.31059,0.003868
140,220,8,167,132,0.558528,0.964912,0.568475,0.964912,0.431525,0.715447,0.734345,1.313976,0.003884
