@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
102,86,36,12,110,0.098361,0.704918,0.877551,0.704918,0.122449,0.781818,0.401639,1.755102,0.390172
103,85,37,12,110,0.098361,0.696721,0.876289,0.696721,0.123711,0.776256,0.397541,1.752577,0.394361
104,85,37,11,111,0.090164,0.696721,0.885417,0.696721,0.114583,0.779817,0.393443,1.770833,0.406456
105,85,37,10,112,0.081967,0.696721,0.894737,0.696721,0.105263,0.78341,0.389344,1.789474,0.466409
106,85,37,9,113,0.07377,0.696721,0.904255,0.696721,0.095745,0.787037,0.385246,1.808511,0.486802
107,85,37,8,114,0.065574,0.696721,0.913978,0.696721,0.086022,0.790698,0.381148,1.827957,0.490258
108,84,38,8,114,0.065574,0.688525,0.913043,0.688525,0.086957,0.785047,0.377049,1.826087,0.504737
109,83,39,8,114,0.065574,0.680328,0.912088,0.680328,0.087912,0.779343,0.372951,1.824176,0.544719
110,83,39,7,115,0.057377,0.680328,0.922222,0.680328,0.077778,0.783019,0.368852,1.844444,0.548905
111,82,40,7,115,0.057377,0.672131,0.921348,0.672131,0.078652,0.777251,0.364754,1.842697,0.605155
112,82,40,6,116,0.04918,0.672131,0.931818,0.672131,0.068182,0.780952,0.360656,1.863636,0.628948
113,81,41,6,116,0.04918,0.663934,0.931034,0.663934,0.068966,0.77512,0.356557,1.862069,0.641928
114,81,41,5,117,0.040984,0.663934,0.94186,0.663934,0.05814,0.778846,0.352459,1.883721,0.646402
115,81,41,4,118,0.032787,0.663934,0.952941,0.663934,0.047059,0.782609,0.348361,1.905882,0.713118
116,80,42,4,118,0.032787,0.655738,0.952381,0.655738,0.047619,0.776699,0.344262,1.904762,0.728283
117,80,42,3,119,0.02459,0.655738,0.963855,0.655738,0.036145,0.780488,0.340164,1.927711,0.747334
118,79,43,3,119,0.02459,0.647541,0.963415,0.647541,0.036585,0.77451,0.336066,1.926829,0.748496
119,79,43,2,120,0.016393,0.647541,0.975309,0.647541,0.024691,0.778325,0.331967,1.950617,0.748792
120,78,44,2,120,0.016393,0.639344,0.975,0.639344,0.025,0.772277,0.327869,1.95,0.788059
121,77,45,2,120,0.016393,0.631148,0.974684,0.631148,0.025316,0.766169,0.32377,1.949367,0.823166
122,76,46,2,120,0.016393,0.622951,0.974359,0.622951,0.025641,0.76,0.319672,1.948718,0.83399
