@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
102,78,44,21,101,0.172131,0.639344,0.787879,0.639344,0.212121,0.705882,0.405738,1.575758,0.35906
103,77,45,21,101,0.172131,0.631148,0.785714,0.631148,0.214286,0.7,0.401639,1.571429,0.366375
104,77,45,20,102,0.163934,0.631148,0.793814,0.631148,0.206186,0.703196,0.397541,1.587629,0.399947
105,77,45,19,103,0.155738,0.631148,0.802083,0.631148,0.197917,0.706422,0.393443,1.604167,0.42355
106,77,45,18,104,0.147541,0.631148,0.810526,0.631148,0.189474,0.709677,0.389344,1.621053,0.42355
107,77,45,16,106,0.131148,0.631148,0.827957,0.631148,0.172043,0.716279,0.381148,1.655914,0.475502
108,76,46,16,106,0.131148,0.622951,0.826087,0.622951,0.173913,0.71028,0.377049,1.652174,0.486765
109,75,47,16,106,0.131148,0.614754,0.824176,0.614754,0.175824,0.704225,0.372951,1.648352,0.507136
110,75,47,15,107,0.122951,0.614754,0.833333,0.614754,0.166667,0.707547,0.368852,1.666667,0.53901
111,74,48,15,107,0.122951,0.606557,0.831461,0.606557,0.168539,0.701422,0.364754,1.662921,0.561156
112,74,48,14,108,0.114754,0.606557,0.840909,0.606557,0.159091,0.704762,0.360656,1.681818,0.564098
113,74,48,13,109,0.106557,0.606557,0.850575,0.606557,0.149425,0.708134,0.356557,1.701149,0.572873
114,73,49,13,109,0.106557,0.598361,0.848837,0.598361,0.151163,0.701923,0.352459,1.697674,0.59388
115,73,49,12,110,0.098361,0.598361,0.858824,0.598361,0.141176,0.705314,0.348361,1.717647,0.604084
116,72,50,12,110,0.098361,0.590164,0.857143,0.590164,0.142857,0.699029,0.344262,1.714286,0.606119
117,72,50,11,111,0.090164,0.590164,0.86747,0.590164,0.13253,0.702439,0.340164,1.73494,0.608521
118,71,51,11,111,0.090164,0.581967,0.865854,0.581967,0.134146,0.696078,0.336066,1.731707,0.631554
119,70,52,11,111,0.090164,0.57377,0.864198,0.57377,0.135802,0.689655,0.331967,1.728395,0.651359
120,69,53,11,111,0.090164,0.565574,0.8625,0.565574,0.1375,0.683168,0.327869,1.725,0.706234
121,68,54,11,111,0.090164,0.557377,0.860759,0.557377,0.139241,0.676617,0.32377,1.721519,0.710614
122,68,54,10,112,0.081967,0.557377,0.871795,0.557377,0.128205,0.68,0.319672,1.74359,0.71613
123,68,54,9,113,0.07377,0.557377,0.883117,0.557377,0.116883,0.683417,0.315574,1.766234,0.731926
124,67,55,9,113,0.07377,0.54918,0.881579,0.54918,0.118421,0.676768,0.311475,1.763158,0.766641
125,67,55,8,114,0.065574,0.54918,0.893333,0.54918,0.106667,0.680203,0.307377,1.786667,0.767168
126,66,56,8,114,0.065574,0.540984,0.891892,0.540984,0.108108,0.673469,0.303279,1.783784,0.796324
127,65,57,8,114,0.065574,0.532787,0.890411,0.532787,0.109589,0.666667,0.29918,1.780822,0.825107
128,64,58,8,114,0.065574,0.52459,0.888889,0.52459,0.111111,0.659794,0.295082,1.777778,0.829588
129,63,59,8,114,0.065574,0.516393,0.887324,0.516393,0.112676,0.65285,0.290984,1.774648,0.830481
130,62,60,8,114,0.065574,0.508197,0.885714,0.508197,0.114286,0.645833,0.286885,1.771429,0.834038
131,61,61,8,114,0.065574,0.5,0.884058,0.5,0.115942,0.638743,0.282787,1.768116,0.845024
132,60,62,8,114,0.065574,0.491803,0.882353,0.491803,0.117647,0.631579,0.278689,1.764706,0.853712
133,60,62,7,115,0.057377,0.491803,0.895522,0.491803,0.104478,0.634921,0.27459,1.791045,0.861886
134,60,62,6,116,0.04918,0.491803,0.909091,0.491803,0.090909,0.638298,0.270492,1.818182,0.869181
135,59,63,6,116,0.04918,0.483607,0.907692,0.483607,0.092308,0.631016,0.266393,1.815385,0.877152
136,58,64,6,116,0.04918,0.47541,0.90625,0.47541,0.09375,0.623656,0.262295,1.8125,0.877321
137,57,65,6,116,0.04918,0.467213,0.904762,0.467213,0.095238,0.616216,0.258197,1.809524,0.877542
138,56,66,6,116,0.04918,0.459016,0.903226,0.459016,0.096774,0.608696,0.254098,1.806452,0.88124
139,55,67,6,116,0.04918,0.45082,0.901639,0.45082,0.098361,0.601093,0.25,1.803279,0.889564
140,54,68,6,116,0.04918,0.442623,0.9,0.442623,0.1,0.593407,0.245902,1.8,0.892083
141,53,69,6,116,0.04918,0.434426,0.898305,0.434426,0.101695,0.585635,0.241803,1.79661,0.911549
142,52,70,6,116,0.04918,0.42623,0.896552,0.42623,0.103448,0.577778,0.237705,1.793103,0.913567
143,51,71,6,116,0.04918,0.418033,0.894737,0.418033,0.105263,0.569832,0.233607,1.789474,0.913744
144,51,71,5,117,0.040984,0.418033,0.910714,0.418033,0.089286,0.573034,0.229508,1.821429,0.915744
145,50,72,5,117,0.040984,0.409836,0.909091,0.409836,0.090909,0.564972,0.22541,1.818182,0.921765
146,49,73,5,117,0.040984,0.401639,0.907407,0.401639,0.092593,0.556818,0.221311,1.814815,0.923463
147,48,74,5,117,0.040984,0.393443,0.90566,0.393443,0.09434,0.548571,0.217213,1.811321,0.92691
148,47,75,5,117,0.040984,0.385246,0.903846,0.385246,0.096154,0.54023,0.213115,1.807692,0.928187
